file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_1,2stage,1,0,0,0,0,149.839,module=1;sym-PDF417;modpx-1.00;img-impossible
sw_module-1.25_1,2stage,1,0,0,0,0,388.229,module=1.25;sym-PDF417;modpx-1.25;img-impossible
sw_module-1.5_1,2stage,1,0,0,0,0,83.894,module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_module-1.75_1,2stage,1,1,1,0,0,6.201,module=1.75;sym-PDF417;modpx-1.75;img-borderline
sw_module-2_1,2stage,1,1,1,0,0,4.926,module=2;sym-PDF417;modpx-2.00;img-ok
sw_module-2.25_1,2stage,1,1,1,0,0,5.175,module=2.25;sym-PDF417;modpx-2.25;img-ok
sw_module-2.5_1,2stage,1,1,1,0,0,5.937,module=2.5;sym-PDF417;modpx-2.50;img-ok
sw_module-2.75_1,2stage,1,1,1,0,0,5.647,module=2.75;sym-PDF417;modpx-2.75;img-ok
sw_module-3_1,2stage,1,1,1,0,0,12.251,module=3;sym-PDF417;modpx-3.00;img-ok
sw_module-3.25_1,2stage,1,1,1,0,0,7.922,module=3.25;sym-PDF417;modpx-3.25;img-ok
sw_module-3.5_1,2stage,1,1,1,0,0,7.482,module=3.5;sym-PDF417;modpx-3.50;img-ok
sw_module-3.75_1,2stage,1,1,1,0,0,7.141,module=3.75;sym-PDF417;modpx-3.75;img-ok
sw_module-4_1,2stage,1,1,1,0,0,7.613,module=4;sym-PDF417;modpx-4.00;img-ok
sw_module-4.25_1,2stage,1,1,1,0,0,8.968,module=4.25;sym-PDF417;modpx-4.25;img-ok
sw_module-4.5_1,2stage,1,1,1,0,0,8.831,module=4.5;sym-PDF417;modpx-4.50;img-ok
sw_module-4.75_1,2stage,1,1,1,0,0,8.116,module=4.75;sym-PDF417;modpx-4.75;img-ok
sw_module-5_1,2stage,1,1,1,0,0,9.219,module=5;sym-PDF417;modpx-5.00;img-ok
sw_module-5.25_1,2stage,1,1,1,0,0,8.003,module=5.25;sym-PDF417;modpx-5.25;img-ok
sw_module-5.5_1,2stage,1,1,1,0,0,8.579,module=5.5;sym-PDF417;modpx-5.50;img-ok
sw_module-5.75_1,2stage,1,1,1,0,0,8.504,module=5.75;sym-PDF417;modpx-5.55;img-ok
sw_module-6_1,2stage,1,1,1,0,0,10.806,module=6;sym-PDF417;modpx-5.55;img-ok
