file,path,expected,found,text_ok,misdecode,dup,ms,tags
c000000_6,2stage,6,1,1,0,0,16.144,mixed;clutter-warehouse;mod-5px+;sym-QR;lowcontrast;rot-free;rot-small;mod-3px;sym-CODE39;inverted;damaged;sym-CODE128;rot-ortho;quietzone;dirty;glare;sym-CODE_128;sym-CODE_39;sym-QR_CODE;n6;img-ok
c000001_2,2stage,2,2,2,0,0,33.558,mixed;mod-5px+;sym-CODE128;rot-small;mod-3px;sym-QR;inverted;underexposed;sym-CODE_128;sym-QR_CODE;n2;img-ok
c000003_3,2stage,3,1,1,0,0,9.043,mixed;clutter-warehouse;mod-3px;sym-CODE128;perspective-strong;mod-5px+;sym-EAN13;lowcontrast;quietzone;dirty;glare;sym-CODE_128;sym-EAN_13;n3;img-ok
c000004_1,2stage,1,1,1,0,0,14.036,mixed;clutter-falsepattern;mod-3px;sym-ITF;damaged;noise;n1;img-ok
c000006_8,2stage,8,1,1,0,0,11.360,mixed;clutter-falsepattern;mod-5px+;sym-QR;lowcontrast;printdefect;rot-free;mod-3px;sym-EAN13;inverted;rot-small;perspective;sym-CODE39;rot-ortho;dpm;quietzone;dirty;noise;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n8;img-ok
c000008_8,2stage,8,1,1,0,0,1.937,mixed;clutter-warehouse;mod-3px;sym-QR;mod-5px+;printdefect;sym-ITF;sym-CODE39;lowcontrast;inverted;sym-EAN13;rot-small;perspective;dirty;shadow;overexposed;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n8;img-ok
c000009_5,2stage,5,2,2,0,0,85.332,mixed;mod-5px+;sym-EAN13;rot-free;inverted;damaged;mod-3px;sym-CODE128;printdefect;rot-small;glare;shadow;noise;sym-CODE_128;sym-EAN_13;n5;img-ok
c000010_2,2stage,2,1,1,0,0,15.243,mixed;mod-5px+;sym-EAN13;rot-ortho;glare;noise-strong;sym-EAN_13;n2;img-ok
c000011_4,2stage,4,1,1,0,0,2.261,mixed;mod-3px;sym-QR;lowcontrast;sym-CODE128;mod-5px+;damaged;rot-free;quietzone;curved;sym-CODE_128;sym-QR_CODE;n4;img-ok
c000012_3,2stage,3,0,0,0,0,718.467,mixed;mod-5px+;sym-QR;inverted;dpm;printdefect;lowcontrast;sym-CODE128;rot-small;perspective-strong;curved;shadow;overexposed;sym-CODE_128;sym-QR_CODE;n3;img-ok
c000013_3,2stage,3,1,1,0,0,5.744,mixed;mod-3px;sym-QR;inverted;mod-5px+;rot-free;perspective-strong;sym-EAN13;glare;shadow;noise-strong;sym-EAN_13;sym-QR_CODE;n3;img-ok
c000015_4,2stage,4,3,3,0,0,32.768,mixed;mod-3px;sym-CODE128;perspective;mod-5px+;sym-QR;lowcontrast;inverted;rot-ortho;underexposed;sym-CODE_128;sym-QR_CODE;n4;img-ok
c000018_1,2stage,1,1,1,0,0,1.664,mixed;mod-5px+;sym-QR;curved;sym-QR_CODE;n1;img-ok
c000019_2,2stage,2,1,1,0,0,18.260,mixed;mod-3px;sym-CODE128;damaged;rot-free;sym-CODE39;rot-small;perspective;shadow;sym-CODE_128;sym-CODE_39;n2;img-ok
c000020_4,2stage,4,1,1,0,0,4.636,mixed;mod-3px;sym-CODE128;lowcontrast;printdefect;rot-small;mod-5px+;sym-EAN13;perspective-strong;quietzone;overexposed;sym-CODE_128;sym-EAN_13;n4;img-ok
c000022_4,2stage,4,1,1,0,0,6.633,mixed;mod-3px;sym-ITF;rot-small;mod-5px+;sym-QR;damaged;rot-free;perspective;lowcontrast;rot-ortho;noise;sym-QR_CODE;n4;img-ok
c000025_6,2stage,6,1,1,0,0,3.716,mixed;clutter-label;mod-3px;sym-ITF;lowcontrast;damaged;rot-small;mod-5px+;sym-QR;rot-ortho;sym-CODE39;inverted;perspective;sym-CODE128;quietzone;curved;overexposed;sym-CODE_128;sym-CODE_39;sym-QR_CODE;n6;img-ok
c000027_5,2stage,5,1,1,0,0,3.093,mixed;clutter-label;mod-3px;sym-CODE128;rot-free;lowcontrast;rot-small;sym-QR;rot-ortho;sym-CODE39;quietzone;sym-CODE_128;sym-CODE_39;sym-QR_CODE;n5;img-ok
c000028_4,2stage,4,1,1,0,0,6.955,mixed;mod-5px+;sym-EAN13;lowcontrast;rot-free;mod-3px;rot-small;perspective;sym-QR;inverted;rot-ortho;sym-CODE128;dirty;noise;sym-CODE_128;sym-EAN_13;sym-QR_CODE;n4;img-ok
c000029_2,2stage,2,1,1,0,0,6.422,mixed;clutter-label;mod-5px+;sym-QR;mod-3px;sym-EAN13;rot-free;shadow;underexposed;sym-EAN_13;sym-QR_CODE;n2;img-ok
c000031_2,2stage,2,1,1,0,0,42.582,mixed;mod-5px+;sym-QR;dpm;mod-3px;sym-CODE128;rot-free;underexposed;noise;sym-CODE_128;sym-QR_CODE;n2;img-ok
c000033_1,2stage,1,0,0,0,0,597.289,mixed;clutter-falsepattern;mod-5px+;sym-CODE128;inverted;rot-ortho;motion-strong;shadow;noise-strong;sym-CODE_128;n1;img-ok
c000034_2,2stage,2,1,1,0,0,2.217,mixed;clutter-label;mod-3px;sym-ITF;mod-5px+;sym-QR;rot-ortho;perspective;overexposed;sym-QR_CODE;n2;img-ok
c000035_1,2stage,1,1,1,0,0,5.110,mixed;mod-5px+;sym-QR;overexposed;sym-QR_CODE;n1;img-ok
c000037_2,2stage,2,1,1,0,0,79.584,mixed;mod-5px+;sym-QR;printdefect;damaged;mod-3px;sym-EAN13;rot-ortho;glare;sym-EAN_13;sym-QR_CODE;n2;img-ok
c000040_1,2stage,1,1,1,0,0,1.794,mixed;clutter-falsepattern;mod-5px+;sym-QR;lowcontrast;damaged;motion;sym-QR_CODE;n1;img-ok
c000041_6,2stage,6,2,2,0,0,1.688,mixed;clutter-label;mod-3px;sym-ITF;damaged;rot-free;sym-QR;lowcontrast;printdefect;rot-small;perspective-strong;mod-5px+;sym-CODE128;glare;sym-CODE_128;sym-QR_CODE;n6;img-ok
c000042_1,2stage,1,1,1,0,0,5.576,mixed;mod-3px;sym-QR;lowcontrast;quietzone;sym-QR_CODE;n1;img-ok
c000043_1,2stage,1,1,1,0,0,8.754,mixed;mod-5px+;sym-EAN13;dirty;noise;sym-EAN_13;n1;img-ok
c000047_5,2stage,5,1,1,0,0,3.446,mixed;mod-3px;sym-QR;perspective;sym-CODE39;damaged;sym-CODE128;rot-free;mod-5px+;rot-small;sym-EAN13;shadow;underexposed;sym-CODE_128;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n5;img-ok
c000049_6,2stage,6,2,2,0,0,1.706,mixed;mod-5px+;sym-QR;dpm;mod-3px;sym-ITF;perspective;lowcontrast;sym-CODE128;rot-ortho;quietzone;shadow;sym-CODE_128;sym-QR_CODE;n6;img-ok
c000051_1,2stage,1,0,0,0,0,339.287,mixed;clutter-falsepattern;mod-5px+;sym-QR;lowcontrast;printdefect;overexposed;sym-QR_CODE;n1;img-ok
