file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_1,2stage,1,0,0,0,0,96.432,module=1;sym-PDF417;modpx-1.00;img-impossible
sw_module-1.25_1,2stage,1,0,0,0,0,46.955,module=1.25;sym-PDF417;modpx-1.25;img-impossible
sw_module-1.5_1,2stage,1,1,1,0,0,3.551,module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_module-1.75_1,2stage,1,1,1,0,0,3.159,module=1.75;sym-PDF417;modpx-1.75;img-borderline
sw_module-2_1,2stage,1,1,1,0,0,2.988,module=2;sym-PDF417;modpx-2.00;img-ok
sw_module-2.25_1,2stage,1,1,1,0,0,3.927,module=2.25;sym-PDF417;modpx-2.25;img-ok
sw_module-2.5_1,2stage,1,1,1,0,0,5.164,module=2.5;sym-PDF417;modpx-2.50;img-ok
sw_module-2.75_1,2stage,1,1,1,0,0,3.874,module=2.75;sym-PDF417;modpx-2.75;img-ok
sw_module-3_1,2stage,1,1,1,0,0,4.317,module=3;sym-PDF417;modpx-3.00;img-ok
sw_module-3.25_1,2stage,1,1,1,0,0,4.432,module=3.25;sym-PDF417;modpx-3.25;img-ok
sw_module-3.5_1,2stage,1,1,1,0,0,9.303,module=3.5;sym-PDF417;modpx-3.47;img-ok
sw_module-3.75_1,2stage,1,1,1,0,0,5.442,module=3.75;sym-PDF417;modpx-3.47;img-ok
sw_module-4_1,2stage,1,1,1,0,0,5.854,module=4;sym-PDF417;modpx-3.47;img-ok
sw_module-4.25_1,2stage,1,1,1,0,0,5.368,module=4.25;sym-PDF417;modpx-3.47;img-ok
sw_module-4.5_1,2stage,1,1,1,0,0,5.622,module=4.5;sym-PDF417;modpx-3.47;img-ok
sw_module-4.75_1,2stage,1,1,1,0,0,7.297,module=4.75;sym-PDF417;modpx-3.47;img-ok
sw_module-5_1,2stage,1,1,1,0,0,10.562,module=5;sym-PDF417;modpx-3.47;img-ok
sw_module-5.25_1,2stage,1,1,1,0,0,5.454,module=5.25;sym-PDF417;modpx-3.47;img-ok
sw_module-5.5_1,2stage,1,1,1,0,0,5.118,module=5.5;sym-PDF417;modpx-3.47;img-ok
sw_module-5.75_1,2stage,1,1,1,0,0,5.063,module=5.75;sym-PDF417;modpx-3.47;img-ok
sw_module-6_1,2stage,1,1,1,0,0,5.253,module=6;sym-PDF417;modpx-3.47;img-ok
