file,path,expected,found,text_ok,misdecode,dup,ms,tags
c000000_1,2stage,1,1,1,0,0,2.315,mixed;clutter-warehouse;mod-5px+;sym-QR;quietzone;curved;sym-QR_CODE;n1;img-ok
c000002_2,2stage,2,1,1,0,0,1.926,mixed;clutter-falsepattern;mod-5px+;sym-QR;lowcontrast;perspective;mod-3px;sym-CODE128;inverted;glare;shadow;overexposed;sym-CODE_128;sym-QR_CODE;n2;img-ok
c000003_8,2stage,8,5,5,0,0,2.837,mixed;clutter-falsepattern;mod-5px+;sym-QR;mod-3px;sym-CODE128;rot-small;perspective;lowcontrast;sym-EAN13;damaged;rot-free;rot-ortho;curved;sym-CODE_128;sym-EAN_13;sym-QR_CODE;n8;img-ok
c000005_1,2stage,1,0,0,0,0,1007.208,mixed;clutter-label;mod-5px+;sym-ITF;inverted;defocus;shadow;underexposed;n1;img-ok
c000007_3,2stage,3,1,1,0,0,1.735,mixed;clutter-label;mod-3px;sym-CODE39;inverted;sym-EAN13;damaged;rot-free;mod-5px+;sym-QR;dirty;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n3;img-ok
c000008_3,2stage,3,1,1,0,0,63.085,mixed;clutter-falsepattern;mod-5px+;sym-CODE128;printdefect;rot-ortho;sym-QR;sym-EAN13;inverted;curved;sym-CODE_128;sym-EAN_13;sym-QR_CODE;n3;img-ok
c000011_1,2stage,1,1,1,0,0,187.958,mixed;clutter-falsepattern;mod-3px;sym-ITF;inverted;rot-free;quietzone;dirty;overexposed;n1;img-ok
c000012_1,2stage,1,0,0,0,0,250.032,mixed;clutter-label;mod-5px+;sym-QR;rot-small;defocus-strong;glare;sym-QR_CODE;n1;img-ok
c000013_3,2stage,3,1,1,0,0,10.473,mixed;clutter-label;mod-3px;sym-CODE128;sym-QR;inverted;curved;noise-strong;sym-CODE_128;sym-QR_CODE;n3;img-ok
c000014_8,2stage,8,1,1,0,0,6.451,mixed;clutter-warehouse;mod-3px;sym-CODE39;rot-ortho;sym-ITF;mod-5px+;sym-QR;sym-CODE128;perspective;inverted;curved;noise;sym-CODE_128;sym-CODE_39;sym-QR_CODE;n8;img-ok
c000015_2,2stage,2,2,2,0,0,56.916,mixed;clutter-warehouse;mod-3px;sym-QR;mod-5px+;lowcontrast;shadow;underexposed;sym-QR_CODE;n2;img-ok
c000016_1,2stage,1,0,0,0,0,364.020,mixed;mod-3px;sym-CODE128;lowcontrast;inverted;printdefect;quietzone;glare;sym-CODE_128;n1;img-ok
c000017_3,2stage,3,1,1,0,0,58.671,mixed;clutter-falsepattern;mod-5px+;sym-CODE39;inverted;sym-QR;perspective-strong;sym-EAN13;printdefect;dirty;noise-strong;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n3;img-ok
c000018_2,2stage,2,1,1,0,0,1.780,mixed;mod-3px;sym-CODE128;mod-5px+;sym-QR;overexposed;sym-CODE_128;sym-QR_CODE;n2;img-ok
c000019_12,2stage,12,7,7,0,0,56.399,mixed;mod-5px+;sym-QR;inverted;printdefect;mod-3px;sym-CODE39;rot-small;sym-CODE128;lowcontrast;damaged;rot-ortho;sym-EAN13;sym-ITF;curved;noise;sym-CODE_128;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n12;img-ok
