file,path,expected,found,text_ok,misdecode,dup,ms,tags
c000002_1,2stage,1,0,0,0,0,395.039,mixed;clutter-label;mod-5px+;sym-QR;perspective-strong;dirty;sym-QR_CODE;n1;img-ok
c000004_1,2stage,1,0,0,0,0,188.816,mixed;clutter-label;mod-3px;sym-QR;damaged;rot-ortho;perspective;quietzone;dirty;sym-QR_CODE;n1;img-ok
c000005_1,2stage,1,1,1,0,0,8.538,mixed;mod-3px;sym-QR;inverted;quietzone;shadow;noise;sym-QR_CODE;n1;img-ok
c000006_3,2stage,3,1,1,0,0,2.260,mixed;clutter-label;mod-3px;sym-QR;mod-5px+;sym-ITF;rot-small;dirty;sym-QR_CODE;n3;img-ok
c000007_3,2stage,3,2,2,0,0,3.337,mixed;mod-5px+;sym-QR;rot-free;perspective;sym-CODE128;lowcontrast;inverted;mod-3px;sym-CODE39;shadow;sym-CODE_128;sym-CODE_39;sym-QR_CODE;n3;img-ok
c000009_4,2stage,4,2,2,0,0,57.456,mixed;mod-3px;sym-EAN13;lowcontrast;sym-CODE128;inverted;mod-5px+;sym-QR;dpm;printdefect;rot-small;perspective-strong;sym-ITF;curved;glare;sym-CODE_128;sym-EAN_13;sym-QR_CODE;n4;img-ok
c000011_1,2stage,1,1,1,0,0,9.496,mixed;mod-5px+;sym-CODE128;lowcontrast;rot-small;quietzone;sym-CODE_128;n1;img-ok
c000012_4,2stage,4,2,2,0,0,6.741,mixed;mod-3px;sym-CODE128;printdefect;sym-ITF;lowcontrast;damaged;sym-CODE39;rot-small;overexposed;noise;sym-CODE_128;sym-CODE_39;n4;img-ok
c000015_2,2stage,2,1,1,0,0,1.752,mixed;mod-3px;sym-CODE128;lowcontrast;damaged;rot-free;mod-5px+;sym-QR;printdefect;curved;overexposed;sym-CODE_128;sym-QR_CODE;n2;img-ok
c000016_4,2stage,4,1,1,0,0,44.673,mixed;clutter-warehouse;mod-3px;sym-ITF;inverted;sym-CODE39;rot-ortho;mod-5px+;sym-QR;rot-free;perspective;dirty;shadow;sym-CODE_39;sym-QR_CODE;n4;img-ok
c000018_1,2stage,1,0,0,0,0,276.886,mixed;clutter-warehouse;mod-5px+;sym-QR;rot-small;dirty;sym-QR_CODE;n1;img-ok
c000020_2,2stage,2,1,0,1,0,586.414,mixed;mod-3px;sym-ITF;lowcontrast;rot-free;shadow;n2;img-ok
c000023_1,2stage,1,1,1,0,0,28.451,mixed;clutter-falsepattern;mod-5px+;sym-CODE39;damaged;rot-ortho;shadow;sym-CODE_39;n1;img-ok
c000028_2,2stage,2,1,1,0,0,1.899,mixed;mod-5px+;sym-QR;perspective;sym-EAN13;rot-small;overexposed;noise;sym-EAN_13;sym-QR_CODE;n2;img-ok
c000029_1,2stage,1,0,0,0,0,219.066,mixed;clutter-warehouse;mod-3px;sym-QR;damaged;rot-free;dirty;noise;sym-QR_CODE;n1;img-ok
c000030_2,2stage,2,1,1,0,0,1.786,mixed;mod-3px;sym-CODE128;mod-5px+;lowcontrast;quietzone;underexposed;sym-CODE_128;n2;img-ok
c000033_1,2stage,1,1,1,0,0,18.575,mixed;mod-3px;sym-CODE128;rot-ortho;curved;sym-CODE_128;n1;img-ok
c000034_1,2stage,1,1,1,0,0,13.052,mixed;mod-5px+;sym-QR;inverted;motion;overexposed;sym-QR_CODE;n1;img-ok
c000035_4,2stage,4,1,1,0,0,2.678,mixed;mod-3px;sym-ITF;printdefect;damaged;sym-QR;lowcontrast;mod-5px+;inverted;rot-ortho;overexposed;sym-QR_CODE;n4;img-ok
c000036_1,2stage,1,1,1,0,0,5.273,mixed;mod-5px+;sym-QR;inverted;rot-small;perspective;shadow;sym-QR_CODE;n1;img-ok
c000037_10,2stage,10,1,1,0,0,1.485,mixed;clutter-label;mod-5px+;sym-QR;perspective;mod-3px;sym-CODE128;rot-free;damaged;rot-small;sym-ITF;sym-EAN13;lowcontrast;printdefect;rot-ortho;sym-CODE39;quietzone;sym-CODE_128;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n10;img-ok
c000038_1,2stage,1,1,1,0,0,2.996,mixed;clutter-label;mod-3px;sym-QR;glare;underexposed;sym-QR_CODE;n1;img-ok
c000043_11,2stage,11,1,1,0,0,8.535,mixed;clutter-warehouse;mod-3px;sym-CODE128;sym-CODE39;rot-free;sym-EAN13;lowcontrast;inverted;rot-small;perspective;rot-ortho;mod-5px+;sym-QR;damaged;dirty;curved;shadow;sym-CODE_128;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n11;img-ok
