file,path,expected,found,text_ok,misdecode,dup,ms,tags
c000052_4,2stage,4,1,1,0,0,1.869,mixed;mod-3px;sym-CODE128;printdefect;damaged;sym-ITF;lowcontrast;inverted;rot-free;dirty;sym-CODE_128;n4;img-ok
c000056_1,2stage,1,0,0,0,0,505.519,mixed;clutter-warehouse;mod-5px+;sym-QR;lowcontrast;perspective;dirty;glare;underexposed;sym-QR_CODE;n1;img-ok
c000057_2,2stage,2,1,1,0,0,8.526,mixed;mod-3px;sym-CODE39;mod-5px+;sym-CODE128;lowcontrast;rot-small;glare;shadow;sym-CODE_128;sym-CODE_39;n2;img-ok
c000058_1,2stage,1,1,1,0,0,12.408,mixed;clutter-label;mod-5px+;sym-QR;rot-ortho;underexposed;sym-QR_CODE;n1;img-ok
c000060_2,2stage,2,1,1,0,0,30.725,mixed;mod-5px+;sym-ITF;damaged;rot-ortho;mod-3px;sym-CODE128;printdefect;rot-free;curved;shadow;underexposed;sym-CODE_128;n2;img-ok
c000061_6,2stage,6,2,2,0,0,7.130,mixed;clutter-warehouse;mod-5px+;sym-QR;perspective;mod-3px;sym-EAN13;rot-free;sym-CODE39;lowcontrast;inverted;sym-ITF;sym-CODE128;rot-ortho;printdefect;noise;sym-CODE_128;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n6;img-ok
c000062_3,2stage,3,2,2,0,0,19.304,mixed;mod-5px+;sym-EAN13;lowcontrast;damaged;rot-small;mod-3px;sym-QR;dpm;sym-CODE128;curved;sym-CODE_128;sym-EAN_13;sym-QR_CODE;n3;img-ok
c000063_1,2stage,1,1,1,0,0,2.019,mixed;mod-3px;sym-ITF;dirty;curved;n1;img-ok
c000064_5,2stage,5,2,2,0,0,1.881,mixed;mod-3px;sym-CODE128;sym-CODE39;perspective;mod-5px+;sym-QR;inverted;rot-free;rot-small;lowcontrast;damaged;dirty;underexposed;sym-CODE_128;sym-CODE_39;sym-QR_CODE;n5;img-ok
c000066_4,2stage,4,2,2,0,0,81.585,mixed;mod-5px+;sym-EAN13;lowcontrast;sym-QR;printdefect;mod-3px;sym-CODE128;rot-free;dirty;underexposed;sym-CODE_128;sym-EAN_13;sym-QR_CODE;n4;img-ok
c000067_1,2stage,1,1,1,0,0,16.834,mixed;mod-3px;sym-CODE128;rot-small;noise;sym-CODE_128;n1;img-ok
c000069_1,2stage,1,1,1,0,0,1.639,mixed;clutter-falsepattern;mod-5px+;sym-ITF;lowcontrast;curved;n1;img-ok
c000070_1,2stage,1,1,1,0,0,1.769,mixed;mod-5px+;sym-ITF;dirty;curved;n1;img-ok
c000073_3,2stage,3,1,1,0,0,1.638,mixed;mod-5px+;sym-CODE128;lowcontrast;perspective;mod-3px;sym-CODE39;printdefect;rot-small;sym-QR;dirty;shadow;sym-CODE_128;sym-CODE_39;sym-QR_CODE;n3;img-ok
c000074_4,2stage,4,1,1,0,0,1.564,mixed;clutter-falsepattern;mod-3px;sym-CODE128;rot-small;printdefect;mod-5px+;sym-QR;rot-ortho;dirty;glare;sym-CODE_128;sym-QR_CODE;n4;img-ok
c000079_2,2stage,2,1,1,0,0,75.284,mixed;mod-3px;sym-CODE128;rot-small;mod-5px+;sym-ITF;overexposed;noise-strong;sym-CODE_128;n2;img-ok
c000081_1,2stage,1,1,1,0,0,45.080,mixed;clutter-falsepattern;mod-3px;sym-CODE128;rot-free;shadow;overexposed;sym-CODE_128;n1;img-ok
c000082_1,2stage,1,1,1,0,0,55.670,mixed;mod-3px;sym-CODE128;rot-ortho;dirty;sym-CODE_128;n1;img-ok
c000084_12,2stage,12,2,2,0,0,6.547,mixed;clutter-falsepattern;mod-3px;sym-ITF;lowcontrast;rot-small;sym-EAN13;sym-CODE128;inverted;rot-ortho;printdefect;sym-QR;sym-CODE39;curved;glare;shadow;sym-CODE_128;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n12;img-ok
c000087_3,2stage,3,1,1,0,0,1.490,mixed;clutter-label;mod-5px+;sym-QR;damaged;perspective;mod-3px;sym-CODE128;rot-small;sym-CODE39;lowcontrast;rot-free;glare;sym-CODE_128;sym-CODE_39;sym-QR_CODE;n3;img-ok
c000088_1,2stage,1,1,1,0,0,48.127,mixed;clutter-warehouse;mod-3px;sym-ITF;rot-small;quietzone;overexposed;noise-strong;n1;img-ok
c000090_1,2stage,1,1,1,0,0,24.332,mixed;mod-5px+;sym-ITF;printdefect;rot-free;dirty;underexposed;n1;img-ok
c000092_1,2stage,1,1,1,0,0,2.161,mixed;mod-5px+;sym-CODE128;motion;glare;underexposed;sym-CODE_128;n1;img-ok
c000093_5,2stage,5,3,3,0,0,1.816,mixed;mod-5px+;sym-QR;perspective;sym-EAN13;inverted;lowcontrast;rot-small;mod-3px;underexposed;sym-EAN_13;sym-QR_CODE;n5;img-ok
c000094_1,2stage,1,1,1,0,0,6.215,mixed;clutter-warehouse;mod-3px;sym-CODE128;dirty;sym-CODE_128;n1;img-ok
c000097_8,2stage,8,1,1,0,0,1.777,mixed;mod-3px;sym-CODE128;damaged;rot-small;sym-ITF;mod-5px+;sym-QR;inverted;sym-EAN13;sym-CODE39;lowcontrast;printdefect;perspective;rot-free;dpm;curved;sym-CODE_128;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n8;img-ok
