file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_bright-1.2_contrast-0.15_1,2stage,1,1,1,0,0,49.850,bright=1.2;contrast=0.15;sym-CODABAR;img-ok
sw_bright-1.3_contrast-0.15_1,2stage,1,1,1,0,0,32.536,bright=1.3;contrast=0.15;sym-CODABAR;img-ok
sw_bright-1.4_contrast-0.15_1,2stage,1,1,1,0,0,32.833,bright=1.4;contrast=0.15;sym-CODABAR;img-ok
sw_bright-1.5_contrast-0.15_1,2stage,1,1,1,0,0,15.665,bright=1.5;contrast=0.15;sym-CODABAR;img-ok
sw_bright-1.6_contrast-0.15_1,2stage,1,1,1,0,0,15.039,bright=1.6;contrast=0.15;sym-CODABAR;img-ok
sw_bright-1.7_contrast-0.15_1,2stage,1,1,1,0,0,14.648,bright=1.7;contrast=0.15;sym-CODABAR;img-ok
sw_bright-1.8_contrast-0.15_1,2stage,1,1,1,0,0,33.045,bright=1.8;contrast=0.15;sym-CODABAR;img-ok
sw_bright-0.3_contrast-0.2_1,2stage,1,1,1,0,0,55.635,bright=0.3;contrast=0.2;sym-CODABAR;img-ok
sw_bright-0.4_contrast-0.2_1,2stage,1,1,1,0,0,33.340,bright=0.4;contrast=0.2;sym-CODABAR;img-ok
sw_bright-0.5_contrast-0.2_1,2stage,1,1,1,0,0,18.973,bright=0.5;contrast=0.2;sym-CODABAR;img-ok
sw_bright-0.6_contrast-0.2_1,2stage,1,1,1,0,0,16.812,bright=0.6;contrast=0.2;sym-CODABAR;img-ok
sw_bright-0.7_contrast-0.2_1,2stage,1,1,1,0,0,15.784,bright=0.7;contrast=0.2;sym-CODABAR;img-ok
sw_bright-0.8_contrast-0.2_1,2stage,1,1,1,0,0,17.394,bright=0.8;contrast=0.2;sym-CODABAR;img-ok
sw_bright-0.9_contrast-0.2_1,2stage,1,1,1,0,0,16.253,bright=0.9;contrast=0.2;sym-CODABAR;img-ok
sw_bright-1_contrast-0.2_1,2stage,1,1,1,0,0,15.481,bright=1;contrast=0.2;sym-CODABAR;img-ok
sw_bright-1.1_contrast-0.2_1,2stage,1,1,1,0,0,32.509,bright=1.1;contrast=0.2;sym-CODABAR;img-ok
sw_bright-1.2_contrast-0.2_1,2stage,1,1,1,0,0,32.642,bright=1.2;contrast=0.2;sym-CODABAR;img-ok
sw_bright-1.3_contrast-0.2_1,2stage,1,1,1,0,0,33.976,bright=1.3;contrast=0.2;sym-CODABAR;img-ok
sw_bright-1.4_contrast-0.2_1,2stage,1,1,1,0,0,28.476,bright=1.4;contrast=0.2;sym-CODABAR;img-ok
