file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_blur-2.75_noise-10_1,2stage,1,1,1,0,0,2.997,blur=2.75;noise=10;sym-CODABAR;img-borderline
sw_blur-3_noise-10_1,2stage,1,1,1,0,0,2.042,blur=3;noise=10;sym-CODABAR;img-impossible
sw_blur-3.25_noise-10_1,2stage,1,1,1,0,0,2.065,blur=3.25;noise=10;sym-CODABAR;img-impossible
sw_blur-3.5_noise-10_1,2stage,1,1,1,0,0,2.400,blur=3.5;noise=10;sym-CODABAR;img-impossible
sw_blur-3.75_noise-10_1,2stage,1,1,1,0,0,2.342,blur=3.75;noise=10;sym-CODABAR;img-impossible
sw_blur-4_noise-10_1,2stage,1,1,1,0,0,2.282,blur=4;noise=10;sym-CODABAR;img-impossible
sw_blur-0_noise-15_1,2stage,1,1,1,0,0,26.258,blur=0;noise=15;sym-CODABAR;img-ok
sw_blur-0.25_noise-15_1,2stage,1,1,1,0,0,12.761,blur=0.25;noise=15;sym-CODABAR;img-ok
sw_blur-0.5_noise-15_1,2stage,1,1,1,0,0,8.406,blur=0.5;noise=15;sym-CODABAR;img-ok
sw_blur-0.75_noise-15_1,2stage,1,1,1,0,0,7.181,blur=0.75;noise=15;sym-CODABAR;img-ok
sw_blur-1_noise-15_1,2stage,1,1,1,0,0,15.073,blur=1;noise=15;sym-CODABAR;img-ok
sw_blur-1.25_noise-15_1,2stage,1,1,1,0,0,17.780,blur=1.25;noise=15;sym-CODABAR;img-ok
sw_blur-1.5_noise-15_1,2stage,1,1,1,0,0,9.163,blur=1.5;noise=15;sym-CODABAR;img-ok
sw_blur-1.75_noise-15_1,2stage,1,1,1,0,0,12.895,blur=1.75;noise=15;sym-CODABAR;img-ok
sw_blur-2_noise-15_1,2stage,1,1,1,0,0,17.924,blur=2;noise=15;sym-CODABAR;img-borderline
sw_blur-2.25_noise-15_1,2stage,1,1,1,0,0,8.361,blur=2.25;noise=15;sym-CODABAR;img-borderline
sw_blur-2.5_noise-15_1,2stage,1,1,1,0,0,7.353,blur=2.5;noise=15;sym-CODABAR;img-borderline
sw_blur-2.75_noise-15_1,2stage,1,1,1,0,0,8.063,blur=2.75;noise=15;sym-CODABAR;img-borderline
sw_blur-3_noise-15_1,2stage,1,1,1,0,0,11.302,blur=3;noise=15;sym-CODABAR;img-impossible
sw_blur-3.25_noise-15_1,2stage,1,1,1,0,0,16.733,blur=3.25;noise=15;sym-CODABAR;img-impossible
sw_blur-3.5_noise-15_1,2stage,1,1,1,0,0,16.471,blur=3.5;noise=15;sym-CODABAR;img-impossible
sw_blur-3.75_noise-15_1,2stage,1,1,1,0,0,12.711,blur=3.75;noise=15;sym-CODABAR;img-impossible
sw_blur-4_noise-15_1,2stage,1,1,1,0,0,8.163,blur=4;noise=15;sym-CODABAR;img-impossible
sw_blur-0_noise-20_1,2stage,1,1,1,0,0,8.864,blur=0;noise=20;sym-CODABAR;img-ok
sw_blur-0.25_noise-20_1,2stage,1,1,1,0,0,7.813,blur=0.25;noise=20;sym-CODABAR;img-ok
sw_blur-0.5_noise-20_1,2stage,1,1,1,0,0,6.286,blur=0.5;noise=20;sym-CODABAR;img-ok
