file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_glare-0.25_shadow-0.6_1,2stage,1,1,1,0,0,1.645,glare=0.25;shadow=0.6;sym-CODABAR;img-ok
sw_glare-0.25_shadow-0.65_1,2stage,1,1,1,0,0,1.661,glare=0.25;shadow=0.65;sym-CODABAR;img-ok
sw_glare-0.25_shadow-0.7_1,2stage,1,1,1,0,0,1.656,glare=0.25;shadow=0.7;sym-CODABAR;img-ok
sw_glare-0.25_shadow-0.75_1,2stage,1,1,1,0,0,1.917,glare=0.25;shadow=0.75;sym-CODABAR;img-ok
sw_glare-0.25_shadow-0.8_1,2stage,1,1,1,0,0,1.830,glare=0.25;shadow=0.8;sym-CODABAR;img-ok
sw_glare-0.25_shadow-0.85_1,2stage,1,1,1,0,0,1.895,glare=0.25;shadow=0.85;sym-CODABAR;img-ok
sw_glare-0.25_shadow-0.9_1,2stage,1,1,1,0,0,1.774,glare=0.25;shadow=0.9;sym-CODABAR;img-ok
sw_glare-0.25_shadow-0.95_1,2stage,1,1,1,0,0,1.807,glare=0.25;shadow=0.95;sym-CODABAR;img-ok
sw_glare-0.25_shadow-1_1,2stage,1,1,1,0,0,1.698,glare=0.25;shadow=1;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.2_1,2stage,1,1,1,0,0,344.002,glare=0.3;shadow=0.2;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.25_1,2stage,1,0,0,0,0,273.387,glare=0.3;shadow=0.25;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.3_1,2stage,1,1,1,0,0,448.733,glare=0.3;shadow=0.3;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.35_1,2stage,1,1,1,0,0,249.429,glare=0.3;shadow=0.35;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.4_1,2stage,1,1,1,0,0,285.501,glare=0.3;shadow=0.4;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.45_1,2stage,1,1,1,0,0,364.470,glare=0.3;shadow=0.45;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.5_1,2stage,1,0,0,0,0,370.177,glare=0.3;shadow=0.5;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.55_1,2stage,1,1,1,0,0,1.927,glare=0.3;shadow=0.55;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.6_1,2stage,1,1,1,0,0,1.747,glare=0.3;shadow=0.6;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.65_1,2stage,1,1,1,0,0,1.717,glare=0.3;shadow=0.65;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.7_1,2stage,1,1,1,0,0,1.982,glare=0.3;shadow=0.7;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.75_1,2stage,1,1,1,0,0,1.725,glare=0.3;shadow=0.75;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.8_1,2stage,1,1,1,0,0,1.918,glare=0.3;shadow=0.8;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.85_1,2stage,1,1,1,0,0,1.668,glare=0.3;shadow=0.85;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.9_1,2stage,1,1,1,0,0,1.890,glare=0.3;shadow=0.9;sym-CODABAR;img-ok
sw_glare-0.3_shadow-0.95_1,2stage,1,1,1,0,0,1.868,glare=0.3;shadow=0.95;sym-CODABAR;img-ok
sw_glare-0.3_shadow-1_1,2stage,1,1,1,0,0,1.737,glare=0.3;shadow=1;sym-CODABAR;img-ok
sw_glare-0.35_shadow-0.2_1,2stage,1,1,1,0,0,539.602,glare=0.35;shadow=0.2;sym-CODABAR;img-ok
