file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0.25_1,2stage,1,1,1,0,0,52.373,dpm=0;invert=1;printdefect=0.5;quietzone=0.25;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0.25_1,2stage,1,1,1,0,0,102.300,dpm=1;invert=1;printdefect=0.5;quietzone=0.25;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0.25_1,2stage,1,1,1,0,0,1.927,dpm=0;invert=0;printdefect=0.75;quietzone=0.25;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0.25_1,2stage,1,1,1,0,0,49.461,dpm=1;invert=0;printdefect=0.75;quietzone=0.25;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0.25_1,2stage,1,1,1,0,0,98.909,dpm=0;invert=1;printdefect=0.75;quietzone=0.25;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0.25_1,2stage,1,1,1,0,0,73.972,dpm=1;invert=1;printdefect=0.75;quietzone=0.25;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0.25_1,2stage,1,1,1,0,0,1.824,dpm=0;invert=0;printdefect=1;quietzone=0.25;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0.25_1,2stage,1,1,1,0,0,26.881,dpm=1;invert=0;printdefect=1;quietzone=0.25;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-0.25_1,2stage,1,1,1,0,0,54.488,dpm=0;invert=1;printdefect=1;quietzone=0.25;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-0.25_1,2stage,1,1,1,0,0,77.377,dpm=1;invert=1;printdefect=1;quietzone=0.25;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-0_quietzone-0.5_1,2stage,1,1,1,0,0,2.141,dpm=0;invert=0;printdefect=0;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0.5_1,2stage,1,1,1,0,0,50.381,dpm=1;invert=0;printdefect=0;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0.5_1,2stage,1,1,1,0,0,125.212,dpm=0;invert=1;printdefect=0;quietzone=0.5;sym-CODABAR;img-ok
